Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
Le9YjEVOa80,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Inside This Tree,Public,Processed,2024-05-01T16:24:01+00:00,2024-05-01T16:24:27+00:00
NfcEL1mtHI4,28000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Blessings,Public,Processed,2024-05-01T16:38:55+00:00,2024-05-08T16:37:59+00:00
5aGeJwhSYHE,152000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Inside A Tree,Public,Processed,2024-05-01T17:17:48+00:00,2024-05-09T17:16:59+00:00
cCRmFSTjVME,439000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinStringCamp,Public,Processed,2024-05-01T18:41:44+00:00,2024-05-10T18:40:59+00:00
GY3BrW336LU,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Are You Experienced?,Public,Processed,2024-05-01T18:51:57+00:00,2024-05-01T18:52:29+00:00
9AeLVKhcu44,267000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinStringCamp,Public,Processed,2024-05-01T23:51:40+00:00,2024-05-11T23:50:59+00:00
MQXcRmS5_6M,336000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Honoring Ancestors,Public,Processed,2024-05-02T14:39:16+00:00,2024-05-02T14:40:29+00:00
yrwhPWpDZm0,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Ancestral Gratitude: Elizabeth Cotten,Public,Processed,2024-05-02T14:57:34+00:00,2024-05-02T14:58:01+00:00
XRyQOFEaT6Y,448000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Man Vs Bear,Public,Processed,2024-05-02T17:35:37+00:00,2024-05-02T17:37:30+00:00
5pB7pxKwgis,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Man Vs Bear,Public,Processed,2024-05-02T17:46:01+00:00,2024-05-02T17:46:27+00:00
wTVOGvJ20SY,21000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,If Then What?,Public,Processed,2024-05-03T11:46:27+00:00,2024-05-03T11:46:43+00:00
1JtrWP2alVo,418000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Metaphysical Therapist?,Public,Processed,2024-05-04T15:38:53+00:00,2024-05-04T16:33:20+00:00
Mfdw-7rhVnE,467000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Free Mumia: Set Yourself Free | Peace & Love from Death Row,Public,Processed,2024-05-05T15:56:02+00:00,2024-05-14T15:54:59+00:00
KhUCrejgjH8,251000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinStringCamp: SidewalkChalk,Public,Processed,2024-05-07T02:27:21+00:00,2024-05-17T02:26:59+00:00
crc00oGpnR0,501000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Ain’t Nobody Ever Gonna Love Me The Way You Did,Public,Processed,2024-05-07T14:53:19+00:00,2024-05-17T14:53:06+00:00
xgOjSkCdmpk,240000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,The Christ Message,Public,Processed,2024-05-07T15:59:47+00:00,2024-05-18T15:58:59+00:00
ZN4e3TsdVBE,68000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,It Ain’t what you do it’s how you do it,Public,Processed,2024-05-07T17:59:09+00:00,2024-05-19T17:58:59+00:00
ca1xK4VN2bo,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,That’s what gets results,Public,Processed,2024-05-07T18:01:43+00:00,2024-05-07T18:03:31+00:00
EFOkMECKYoA,313000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinStringCamp,Public,Processed,2024-05-07T23:22:57+00:00,2024-05-20T23:21:59+00:00
O9cOOUM5YwE,547000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,WorthFightingFor,Public,Processed,2024-05-08T20:26:59+00:00,2024-05-21T20:25:59+00:00
CgLzq9ko0_8,220000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"TravelinStringCamp: Musical Conversation, Improvisation",Public,Processed,2024-05-09T15:12:04+00:00,2024-05-22T15:10:59+00:00
bsNGO4xlqjI,378000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,A Boy Named Eli,Public,Processed,2024-05-09T19:15:19+00:00,2024-05-23T19:14:59+00:00
i4dmbNcfxSg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,A Boy Named Eli,Public,Processed,2024-05-09T21:25:19+00:00,2024-05-09T21:26:04+00:00
5ywbfHsb67M,412000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Eye of the Hurricane,Public,Processed,2024-05-10T04:11:58+00:00,2024-05-25T04:10:59+00:00
BHChP0FQzOo,153000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,New Mexico,Public,Processed,2024-05-10T04:35:07+00:00,2024-05-26T04:33:59+00:00
6hfmq5WBtbc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,WorthFightingFor,Public,Processed,2024-05-10T13:05:30+00:00,2024-05-10T13:05:47+00:00
7dqNUgxDz9I,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Writing A Musical,Public,Processed,2024-05-10T14:03:06+00:00,2024-05-10T14:03:40+00:00
7Afm-MXECyQ,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,The Making of A Musical,Public,Processed,2024-05-10T14:43:31+00:00,2024-05-10T14:44:14+00:00
mePvD1CWljI,652000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Mutual Reverence & For the Record,Public,Processed,2024-05-10T22:39:29+00:00,2024-05-26T22:38:59+00:00
2sNRTvJcMGo,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Gitar Pickin’,Public,Processed,2024-05-11T02:04:24+00:00,2024-05-11T02:04:42+00:00
d2fZjhsvZjs,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Get Back Up!,Public,Processed,2024-05-11T02:27:04+00:00,2024-05-11T02:27:41+00:00
B1EIuhDgQHY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Jazz Standards,Public,Processed,2024-05-11T02:33:38+00:00,2024-05-11T02:34:07+00:00
lLqN_KRuY2I,4696000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav (Travis Erwin) is live!,Private,Processed,2024-05-11T02:40:07+00:00,
GwL3XbjB41M,268000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Never Fails,Public,Processed,2024-05-11T04:37:48+00:00,2024-05-30T04:36:59+00:00
TsJ8GeEnKh4,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Love Never Fails,Public,Processed,2024-05-11T15:07:10+00:00,2024-05-11T15:07:34+00:00
seFJ2AdVPAA,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Simple Guitar,Public,Processed,2024-05-11T15:54:17+00:00,2024-05-11T15:54:56+00:00
LsH8TIHeJ6U,2056000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav (Travis Erwin) is live!,Public,Processed,2024-05-11T16:01:37+00:00,2024-05-12T04:40:15+00:00
nfF4Sy7s9P4,12000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,FingerPicking ii V7 i,Public,Processed,2024-05-11T19:40:11+00:00,2024-05-11T19:40:28+00:00
4caicJPLbnU,325000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"NewMexico, Dairy Cow Flys, & Miller Moths",Public,Processed,2024-05-11T22:08:24+00:00,2024-05-27T22:07:59+00:00
IO0EqXGbMNA,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav,Public,Processed,2024-05-11T22:37:17+00:00,2024-05-11T22:38:05+00:00
KVcBnarWJng,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,EmotionalMusic,Public,Processed,2024-05-11T22:48:35+00:00,2024-05-11T22:49:13+00:00
Df5dBkdxQNo,195000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,HALT,Public,Processed,2024-05-12T00:04:59+00:00,2024-05-29T00:03:59+00:00
hWMkfEKtw6s,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Dorian | Cool Minor | Raised 6 | min Maj7,Public,Processed,2024-05-12T02:34:56+00:00,2024-05-12T02:35:29+00:00
xNIeoKb4PY4,5546000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav (Travis Erwin) is live!,Public,Processed,2024-05-12T03:47:31+00:00,2024-06-07T06:00:35+00:00
y1K_wzIjYbw,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Thanks for tuning in!,Public,Processed,2024-05-12T05:23:47+00:00,2024-05-12T05:24:18+00:00
iqLrNlw0-pY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"1932, Brother Can You Spare a Dime?",Public,Processed,2024-05-12T15:36:03+00:00,2024-05-12T15:36:48+00:00
_LslQTEpwmQ,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,um-chet,Public,Processed,2024-05-12T17:20:35+00:00,2024-05-12T17:21:17+00:00
UCv58CrJk0o,459000,Education,"#musictheatre, #musicals, #staciGray",UCUQkPM6zQzIs0B6HiSlXbwg,Happy Mother’s Day: A musical Upbringing,Public,Processed,2024-05-12T18:35:32+00:00,2024-05-12T18:42:29+00:00
hg5gRnFHDIE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Happy Mother’s Day,Public,Processed,2024-05-12T20:06:59+00:00,2024-05-12T20:07:39+00:00
tGdOT_gROVo,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinTrav,Public,Processed,2024-05-12T20:14:09+00:00,2024-05-12T20:14:49+00:00
g1eWobRZEOI,293000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Music As Play, TravelinStringCamp",Public,Processed,2024-05-12T21:56:47+00:00,2024-05-31T21:55:59+00:00
71wCMfVyL80,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Music As Play,Public,Processed,2024-05-12T22:17:56+00:00,2024-05-12T22:18:29+00:00
uS-f97gpyEY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TransRationalBlues,Public,Processed,2024-05-12T22:33:35+00:00,2024-05-12T22:34:21+00:00
dvahdEKYKu4,253000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TravelinStringCamp: DeeperPower DeeperLove,Public,Processed,2024-05-12T23:35:46+00:00,2024-06-02T23:34:59+00:00
LA7O_3bzIMI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Deeper Power,Public,Processed,2024-05-12T23:46:06+00:00,2024-05-12T23:46:44+00:00
bnt_tDvpdL8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Guitar Lessons,Public,Processed,2024-05-12T23:53:22+00:00,2024-05-12T23:54:06+00:00
m5Jtk6dR9-E,569000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Jimi Hendrix & Empiricism: Are You experienced?,Public,Processed,2024-05-14T12:52:56+00:00,2024-05-30T12:51:59+00:00
jWvdMWLRCOo,624000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,TransRationalBlues,Public,Processed,2024-05-14T19:02:51+00:00,2024-06-06T13:00:06+00:00
hVf7JihheXo,307000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Brother Jack: War is Hell,Public,Processed,2024-05-15T14:43:48+00:00,2024-05-15T14:47:33+00:00
fznU3M3BAUE,215000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Rucker Brothers: Medieval UnFair,Public,Processed,2024-05-15T15:15:26+00:00,2024-05-16T15:13:59+00:00
jy87XX248iQ,221000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Rucker Brothers: New Mexico,Public,Processed,2024-05-15T17:25:11+00:00,2024-05-17T17:24:59+00:00
ptDfDsZ-F20,306000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Flowers on their Graves | Oklahoma City Bombing | April 19, 1995, The Rucker Brothers,",Public,Processed,2024-05-15T20:24:50+00:00,2024-05-18T20:23:59+00:00
U2uoSKje8Wc,189000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Cruise Control: Rucker Brothers, Portales NM, Uncle Mike’s",Public,Processed,2024-05-15T21:11:23+00:00,2024-05-19T21:10:59+00:00
fEuqk8bIe5g,447000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Boomtec Ambio, Hipslingers, & Desert Flames",Public,Processed,2024-05-16T19:11:05+00:00,2024-05-17T19:24:50+00:00
 -P7lpYp6AM0,447000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Boomtec Ambio, Hipslingers, Desert Flames",Public,Processed,2024-05-16T19:39:49+00:00,2024-05-16T20:11:58+00:00
Qjv8rVMbRMo,168000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Tonight Only: The TransRationalBluesReview,Public,Processed,2024-05-17T18:34:15+00:00,2024-05-17T18:35:49+00:00
ip04423mf1U,507000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Trigger Warnings,Public,Processed,2024-05-20T23:52:40+00:00,2024-06-08T23:51:59+00:00
ie9bRFXqRkk,726000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Trigger Warnings: TransRationalBlues,Public,Processed,2024-05-21T17:20:26+00:00,2024-06-08T17:19:59+00:00
VecqFL5jtVo,202000,Education,My cover of Working Class Hero,UCUQkPM6zQzIs0B6HiSlXbwg,Working Class Hero: John Lennon Cover,Public,Processed,2024-05-21T20:33:35+00:00,2024-06-07T20:32:59+00:00
RwFw0uAf4KU,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Trigger Warning part 1,Public,Processed,2024-05-21T21:04:08+00:00,2024-05-21T21:04:52+00:00
Nod13hAJ1aU,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Trigger Warning part 2,Public,Processed,2024-05-21T21:35:50+00:00,2024-05-21T21:37:08+00:00
