Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
yw7zL9ova6c,2020-09-29T11:25:28.562059+00:00,"In 2001 I became a police officer. Before I started the training, several of my friends tried to help me understand that I was probably not cut out for the job. It wasn't until after completing my training and moving to the midnight shift that I began to understand that they were right. However, the truths that I learned about myself and the justice system were invaluable. 

I sought this job with great optimism and trust. I went in with the intention to serve. I was a young man who was trying to join. I wanted to be a part-of. I had become willing to believe in the status-quo, but ultimately the job broke my heart.

As I was in training, many people warned me that I would see the dark side of humanity. When they said this I assumed that they were talking about the ""bad guys,"" as we called them. But this is what I actually discovered: 1. The dark side of myself 2.  the darkness of an unjust justice system. In the end I understood that I was unable to be the hand of this justice system that persecuted poor, broken, suffering people. in the end I learned how poor, broken, and suffering I really was.

At the same time that all of this was going on I was also watching my own fundamentalist religious beliefs dissolving. As a desperate young man, searching for some kind of healing, I had given myself to bible-belt Christianity, which I eventually found to be very much opposed to the teachings of Christ. I finally quit my job after having realized that I had become complicit in the institutionalized abuse of my brothers and sisters.

This was a big blow to my young family. Me and my wife had two children and she was pregnant with our third. This was the first time we'd ever been able to afford health insurance. This was the first job I'd ever had in which I was not required to empty the trash. But, I did have the courage to walk away, which I now see as a pivotal moment in my personal development.

I also ended up walking away from institutionalized religion. Maybe ""ran away"" would be a more appropriate description.

This song was sung by a twenty-eight year old man who is recognizing the absurdity of his own being. This song was written by a man who is recognizing the limitations of a uniform. This song was sung by a young man who was still desperately trying to follow the Christ, who had tried, once again to join the system that his mentors were calling ""good."" The young man who sang this song was walking away from the status quo in order to find something more compassionate for himself. Much personal suffering was still to come.

This story is still not complete. Eighteen years later, the young man is now a middle-aged man. He is still trying to understand how to be of service to his community in a way that does not compromise the integrity of his compassionate being. He is still suffering. He is still broken. He still longs to join, to be a part of community. He recognizes that he is possibly so broken that he is just unable, somehow, to be a part of the communities that have called to him. He is hurting. He has asked for help in so many ways, and he has received so much, yet he still feels so lost much of the time.

Please remember, we are all here together. We may not be able to know the true heart of the people who still wear these uniforms. I pray that we would all find that deep love and compassion that is waiting for each of us as a people. I pray for an end to all the violence which manifests in gross and subtle forms. I pray for the young men and women who are looking for some kind of control over their lives and unconsciously seek this control by wearing a sidearm. I pray for our broken hearts. I pray for all the people who are incarcerated in a hopelessly broken ""justice"" system. I pray that God would grant us the strength and courage to step away from that which is hurtful to all of us. And I pray that we would all find ourselves in Love.",Workin' Nights,2023-08-09T17:15:40.391613+00:00
6vFtbIEkgTE,2020-09-29T14:35:49.167198+00:00,A ridiculous exploration of the half-whole-diminished scale.,Alien Dancer,2023-08-09T16:35:55.955387+00:00
SzL7FnhxLm0,2020-09-29T15:07:29.956325+00:00,"For those of us who have spent a significant portion of our lives feeling overwhelmed by negative thoughts and emotions, may this song bring reassurance that there is an innate presence in us that is greater than our fears. 

In the eye of the hurricane you are always still.",,2023-08-11T02:56:56.862275+00:00
f40ubIeSHzQ,2020-09-30T04:45:47.983198+00:00,"I continue to search my archive of recordings for songs that make me smile. I used to take my guitar to lake Hefner in Oklahoma City. One day, as I sat on the rocks by the road by the beach, I was bitten by a creepy-crawly thing which disappeared back into the rocks. Needless to say I was very disturbed (honestly thought I might be dying!). That incident sparked the beginnings of this song which I finished many years later. I hope it brings a smile to your face right now, my friend! BTW, this song includes cowbell, which may need to be brought up in the mix! more cowbell! I celebrate life with you!",Rocks by the Road,2023-08-11T01:04:04.828042+00:00
zIvRyx7vlaE,2020-09-30T05:00:45.224715+00:00,,Slow Moving River (on the banks of October),2023-08-10T13:56:25.420894+00:00
PkSXTFsYHgU,2020-10-01T14:47:31.367552+00:00,"I worked as a physical therapist assistant in nursing homes for a total of two years. I had the honor of meeting many beautiful souls who were making peace with themselves at the end of their lives. I found the whole experience to be a profoundly exhausting meditation on the impermanent nature of our existence.

This song begins with a story about a man that I met who was grieving the loss of his autonomy. He was frustrated by the fact that the comfort of his own home was just a few miles away, yet he was not allowed to be there. During one of our therapy sessions he retrieved a napkin and a pencil from his pocket and began to sketch the floorplan of his home. I watched as his frustration and anger turned into tears which dripped down his nose and onto his sketch.

Loss seems to be built into our lives. There's no way to avoid it. Acceptance of our loss and the grief that comes with it is sometimes hard to come by. Some people say that what causes unnecessary suffering is twofold: 1. We cling tightly to that which we desire. 2. we push away from that which is undesirable. 

Today, I see many of us suffering very deeply. We hold on to our need to be right. We push away from anything that threatens our worldview. Waking up from our suffering is a lifetime journey. My prayer for us today is that we might find the courage to face and accept ourselves and one another exactly as we are, allowing the love a deeper-power to permeate the more ""out there"" (egoic) aspects of our personality.

God bless you, my friend",,2023-08-10T15:47:35.195921+00:00
a5CAi188px4,2020-10-01T15:33:31.920625+00:00,"A tune written by Ray Henderson in 1926 which would become a beloved Jazz standard. My favorite recording of this song was done by Rachelle Ferrell:
https://www.youtube.com/watch?v=zL5nkyCXySU",Bye Bye Blackbird,2023-08-10T22:19:57.480454+00:00
QmUar0eymEM,2020-10-01T20:41:00.546374+00:00,,Break the Surface (then you breathe),2023-08-10T08:33:09.143883+00:00
eP-y8KwYwbQ,2020-10-01T22:19:27.361201+00:00,"I am so grateful to have had the chance to be a part of this beautiful family. It's just about two-and-a-half years now since Carol and I parted ways, but I would still not trade anything for the honor of having been the father of these three beautiful children and the husband of a woman who taught me so much about life. I pray for all of us, that we would be filled with all the deepest of love and compassion for one another. You are all my greatest teachers!

Thanks to my friend, Matt Hope for playing saxophone on this track. We recorded this back in 2005 as we were making the Rucker Brothers album in  Dyron Beaty's studio.",Small Piece of Pie,2023-08-09T23:46:04.310468+00:00
AnNkpNELA8s,2020-10-01T23:41:45.725694+00:00,"This video is one in a series that I am posting as a celebration of life! I got to spend several incredible months with this beautiful woman. What an inspiration she was to me, a true gift from God. I am immensely grateful to know her. It is with deep thanks in my heart that I post this video. Thank you, Eulalia. May the Lord bless you and keep you, cause his face to shine upon you, be gracious to you, and give you peace.",Hold Me Tonight,2023-08-11T16:19:46.737795+00:00
