Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
J9oc-zYeoC8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"HateMail, Hecklers, & Love For Audience",Public,Processed,2023-12-28T21:14:31+00:00,2023-12-28T21:15:02+00:00
SrE2PpVm_6M,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"HateMail, Hecklers, & The Lazy Marxist",Public,Processed,2023-12-28T21:17:12+00:00,2023-12-28T21:19:18+00:00
gQGUvUlaOcI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"HateMail, Hecklers, and Love of Audience",Public,Processed,2023-12-28T21:18:26+00:00,2023-12-28T21:21:22+00:00
lj7BwOP5t9s,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,I see myself in you,Public,Processed,2023-12-28T21:19:52+00:00,2023-12-28T21:21:20+00:00
T6mTzP4xjPc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Hurting? Self-Compassion,Public,Processed,2023-12-30T22:58:14+00:00,2023-12-30T23:00:19+00:00
ptE8qcM7oBw,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Catharsis,Public,Processed,2023-12-30T23:35:54+00:00,2023-12-30T23:37:39+00:00
ynZ_csgIkmo,120000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,At the Crossroads,Public,Processed,2023-12-31T01:35:31+00:00,2023-12-31T01:37:42+00:00
7Jg14fyq6zY,1701000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Gibson L-5 Wes Montgomery,Public,Processed,2023-12-31T20:13:52+00:00,2023-12-31T21:02:39+00:00





