Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
6csM8SKGS_s,1790000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"The Seeker, The searcher, Narrative Collapse, Drop your nets, Christ Mind, One Mind",Public,Processed,2020-11-23T15:49:11+00:00,2020-11-23T16:06:14+00:00
vK47AfJyKiU,1174000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Nurturing Ourselves through the Creative Healing Process,Public,Processed,2020-11-23T16:10:26+00:00,2020-11-23T20:00:08+00:00
631xwJpLndM,1033000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Mindful Forgiveness Meditation,Public,Processed,2020-11-23T16:26:14+00:00,2020-11-24T00:00:00+00:00
upQlFstt7SU,1622000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Meditation: Become Forgiveness, Christ Consciousness, Cosmic Consciousness, True Self, False-Self",Public,Processed,2020-11-24T11:27:37+00:00,2020-11-24T11:39:23+00:00
fJCESy0giA4,1214000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Eckhart Tolle, The Power of Now, Ego, Pain Body, Awakening, Twelve Steps, Enlightenment, Forgiveness",Public,Processed,2020-11-24T13:43:05+00:00,2020-11-24T22:00:13+00:00
MuHI0890PIM,1017000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Oneness Meditation, Holy Communion, Forgiveness, Highest Calling",Public,Processed,2020-11-25T13:46:40+00:00,2020-11-25T14:01:09+00:00
vGzQ4f0idhM,1050000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Vulnerability, Open Heart Meditation, Affirmations, Who Am I?, Honesty, The Observer, Forgiveness",Public,Processed,2020-11-25T15:03:04+00:00,2020-11-25T18:00:09+00:00
Tlwc8YwScqc,636000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Light Language & Creative Process,Public,Processed,2020-11-25T16:37:18+00:00,2020-11-25T23:00:05+00:00
rjDe_WIUEUk,1543000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Create In Me A Clean Heart, One Mind, Social Media, Holy Spirit, One Problem, Am I Alone?, Unity",Public,Processed,2020-11-25T18:01:17+00:00,2020-11-26T09:00:12+00:00
oTBMyFGrsKk,573000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Choosing Happiness, A Course In Miracles",Public,Processed,2020-11-26T10:18:41+00:00,2020-11-26T10:24:37+00:00
thjo3k64vf4,1734000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Spiral Dynamics, Evolution of Consciousness, Drop Your Nets, Integral Life Practice, Ken Wilber",Public,Processed,2020-11-26T15:01:49+00:00,2020-11-26T15:21:36+00:00
sn0oEBISz3M,1322000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"How to Love Your Enemy, Theosis Meditation, Christ Consciousness, Cosmic Consciousness, Ego",Public,Processed,2020-11-26T19:02:43+00:00,2020-11-26T19:27:20+00:00
tiyRZfOZAow,755000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Power of Now, Eckhart Tolle, Chop Wood Carry Water, Peace and Park Benches",Public,Processed,2020-11-26T19:20:27+00:00,2020-11-26T23:00:18+00:00
iOLU2Pn-Pi8,307000,Education,"I could have 
at any moment
in my life
released my self from the suffering
that I had created

no one ever did anything to me
I chose this
I chose to have this experience
I chose to walk this path
I chose to see through this illusion of suffering
I chose this awakening process

I am responsible
for everything I see
I am free to forgive
everything I see

It seems like I'm looking out
It seems like I'm seeing ""others""
But those ""others"" are not separate from me

Any injury that I perceive
That has come from the outside
Is an injury that I am free to forgive
And in so doing
I free myself

I am one with the ""other""
There is no ""i""
There is no ""you""
we have chosen
in our suffering 
to see ourselves as separate
and it is this separateness...
this illusion of separateness
that we choose to see through today

suffering has no substance
it is not solid

neurosis
has no 
function
neurosis can be seen through

the idea that we are lacking something...
that's suffering

the idea.... 
thatI'm not enough

the idea that
I must add something to myself
this is all suffering

all unhappiness
is meaningless
we assign meaning 
to our unhappiness
we assign meaning
to those we see as separate from ourselves

and when we choose suffering
that is exactly what we get",UCUQkPM6zQzIs0B6HiSlXbwg,"I Chose This, I Am Responsible, I Am Not A Victim of the World I See",Public,Processed,2020-11-27T15:06:32+00:00,2020-12-08T11:00:30+00:00
gQqlrfVRnzQ,182000,Education,"Do not be afraid of the silence
Everything that arises
from the silence
is your path to awakening

there are no distractions from
your meditation
everything that arises
is the path to the One

train your mind
allow yourself to receive instruction
from within yourself
allow yourself to become
the strength
that takes joy in the training of your mind

see past the illusion of suffering

you are very capable
you are not obligated to suffer
happiness is your birthright
joy is who you are

forgiveness is the way
do not be afraid of the silence
do not be afraid of the distractions
allow your awareness of the distraction
to bring you back
time and time again

do not be afraid of the silence",UCUQkPM6zQzIs0B6HiSlXbwg,Do Not Be Afraid Of the Silence 2,Public,Processed,2020-11-27T15:14:52+00:00,2020-12-07T11:00:24+00:00
i3fVeedFcjg,809000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,How to Save the World. Afraid of Silence? Threatened? Who Saves The World?,Public,Processed,2020-11-27T15:46:18+00:00,2020-11-27T15:52:46+00:00
dhXNPVg7lP0,1164000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"Corporation Meditation, Starving the Beast, Think Your Own Thoughts, Christ Mind, Cosmic Mind",Public,Processed,2020-11-27T16:33:44+00:00,2020-11-27T20:00:10+00:00
ZaggU1mNcbw,867000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,"We've turned against one another, Reclaim Your Power, Forgive Your Enemy, Christ Consciousness",Public,Processed,2020-11-27T17:05:29+00:00,2020-11-28T01:00:03+00:00
hVNhH-yeop4,1733000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Authenticity #1,Public,Processed,2020-11-28T16:18:31+00:00,2020-11-28T16:33:58+00:00
