Video ID,Approx Duration (ms),Video Category,Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
q2ifeOfZ5EA,14000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Boots on the Ground,Public,Processed,2025-09-21T16:34:51+00:00,2025-09-21T16:49:11+00:00
XNWLsA7BEsQ,325000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Another Non-Binary Teaching,Public,Processed,2025-09-21T18:08:16+00:00,2025-09-21T18:09:53+00:00
x2O1Wj1BWHg,50000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,I Will Praise Your Holy Name,Public,Processed,2025-09-23T00:58:53+00:00,2025-09-23T00:59:13+00:00
k4_I9NED4H8,113000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Authentic Intelligence University,Public,Processed,2025-09-23T01:55:36+00:00,2025-09-23T01:56:35+00:00
uEH6TW6D930,305000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Grace,Public,Processed,2025-09-23T05:05:34+00:00,2025-09-23T05:07:05+00:00
OgKKLs0BKJ4,626000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Authentic Intelligence University: Promises,Public,Processed,2025-09-23T12:43:50+00:00,2025-09-23T12:46:34+00:00
oAEJMQAJzTs,211000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Move On,Public,Processed,2025-09-24T12:01:34+00:00,2025-09-24T12:02:37+00:00
g6YPOcsraGM,248000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Jacob Lee & Darienne Nez,Public,Processed,2025-09-26T10:13:21+00:00,2025-09-26T10:25:46+00:00
i5nnDLDdloQ,288000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Tóʼahani fashions & Jacob Lee ,Public,Processed,2025-09-27T22:23:04+00:00,2025-09-27T22:23:59+00:00
m8LwKSyJeYg,463000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Hozho: Jacob Lee & Darienne Nez,Public,Processed,2025-09-28T14:11:42+00:00,2025-09-28T15:26:23+00:00
yFJsQwVteTE,198000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,A night on the Rez,Public,Processed,2025-09-29T13:02:01+00:00,2025-09-29T13:24:52+00:00
inXnWtwbj7M,274000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Rise Up Now,Public,Processed,2025-10-02T18:04:06+00:00,2025-10-02T18:12:21+00:00
W2gefdoIUSw,3439000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,We Are The Light,Unlisted,Processed,2025-10-31T16:43:44+00:00,2025-10-31T16:46:17+00:00
RaiNHZkswko,395000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Trav’s Autumn Adventures,Public,Processed,2025-11-28T15:27:49+00:00,2025-11-28T15:55:12+00:00
geI76mNez9k,183000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Trav,Unlisted,Processed,2025-12-09T13:45:04+00:00,
5LlPVkT5zt0,172000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,The Dream Is Us,Unlisted,Processed,2025-12-10T11:26:54+00:00,
xU3xhy3JcWg,10381000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Chasing Leaves,Unlisted,Processed,2025-12-17T14:54:48+00:00,2025-12-17T15:50:53+00:00
yA3CgcISDOY,4246000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Hozho,Unlisted,Processed,2025-12-20T03:32:02+00:00,2025-12-20T04:05:46+00:00
Bf8HqVIASMU,7645000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Covid-Era Awakenings,Unlisted,Processed,2025-12-22T21:16:35+00:00,2025-12-23T02:14:36+00:00
SVu_1FkNGYU,7680000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,The Dream Is Us,Public,Processed,2025-12-30T18:03:52+00:00,2025-12-31T23:47:56+00:00





